Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 2441 in jcg],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,0.0,adcirc_og,[Loop at line 2441 in jcg],itpackv.F,0x51f0eb
[Loop at line 2442 in unscal],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,0.0,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f142
[Loop at line 2442 in unscal],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,0.0,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f38a
[Loop at line 2451 in unscal],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,0.0,adcirc_og,[Loop at line 2451 in unscal],itpackv.F,0x51f4de
[Loop at line 2912 in scopy],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500000,0.428571,,adcirc_og,[Loop at line 2912 in scopy],itpackv.F,0x528100
[Loop at line 330 in jcg],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,0.250000,,adcirc_og,[Loop at line 330 in jcg],itpackv.F,0x51f890
[Loop at line 4524 in gwce_new],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000,1.000000,,adcirc_og,[Loop at line 4524 in gwce_new],timestep.F,0x4c5135
[Loop at line 567 in itjcg],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,0.0,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x522410
[Loop at line 5672 in mom_eqs_new_nc],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500000,0.142857,,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d84a6
[Loop at line 681 in neighb],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,0.0,adcirc_og,[Loop at line 681 in neighb],adcirc.F,0x5760c6
[Loop@0x5d1eb4 in for__resource_acquire],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000,0.0,0.0,adcirc_og,[Loop@0x5d1eb4 in for__resource_acquire],[Unknown],0x5d1eb4
[Loop@0x60d1b0 in for_write_seq_fmt_xmit],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000,0.0,0.0,adcirc_og,[Loop@0x60d1b0 in for_write_seq_fmt_xmit],[Unknown],0x60d1b0
[Loop@0x6444d9 in cvt_ieee_t_to_text_ex],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,0.0,adcirc_og,[Loop@0x6444d9 in cvt_ieee_t_to_text_ex],[Unknown],0x6444d9
